time,Obs,Mean
1985/1/15,-0.1421,-0.169866667
1985/2/15,-0.321,-0.2004
1985/3/15,-0.1033,-0.1888
1985/4/15,0.0246,-0.133233333
1985/5/15,0.1428,0.021366667
1985/6/15,-0.3632,-0.065266667
1985/7/15,-0.3821,-0.200833333
1985/8/15,-0.1053,-0.283533333
1985/9/15,-0.0987,-0.195366667
1985/10/15,-0.3471,-0.1837
1985/11/15,0.2791,-0.055566667
1985/12/15,-0.0876,-0.051866667
1986/1/15,0.0938,0.0951
1986/2/15,0.2646,0.090266667
1986/3/15,0.454,0.2708
1986/4/15,0.2444,0.321
1986/5/15,0.2522,0.316866667
1986/6/15,-0.084,0.137533333
1986/7/15,-0.4418,-0.0912
1986/8/15,-0.0896,-0.205133333
1986/9/15,0.1475,-0.127966667
1986/10/15,0.0586,0.038833333
1986/11/15,0.4462,0.217433333
1986/12/15,0.0882,0.197666667
1987/1/15,-0.031,0.1678
1987/2/15,0.0002,0.019133333
1987/3/15,-0.4568,-0.162533333
1987/4/15,-0.337,-0.264533333
1987/5/15,0.1063,-0.229166667
1987/6/15,0.0019,-0.076266667
1987/7/15,-0.1363,-0.009366667
1987/8/15,0.1309,-0.001166667
1987/9/15,0.5152,0.169933333
1987/10/15,0.5493,0.398466667
1987/11/15,-0.0713,0.331066667
1987/12/15,-0.1254,0.117533333
1988/1/15,0.1417,-0.018333333
1988/2/15,0.1391,0.0518
1988/3/15,-0.0285,0.0841
1988/4/15,0.2898,0.133466667
1988/5/15,-0.3981,-0.0456
1988/6/15,-0.3047,-0.137666667
1988/7/15,0.073,-0.209933333
1988/8/15,-0.0185,-0.0834
1988/9/15,-0.1962,-0.047233333
1988/10/15,-0.3119,-0.175533333
1988/11/15,-0.1953,-0.234466667
1988/12/15,0.2789,-0.0761
1989/1/15,-0.4517,-0.1227
1989/2/15,0.4018,0.076333333
1989/3/15,-0.1058,-0.0519
1989/4/15,-0.0332,0.0876
1989/5/15,-0.0363,-0.058433333
1989/6/15,-0.5409,-0.203466667
1989/7/15,-0.0704,-0.215866667
1989/8/15,-0.6595,-0.4236
1989/9/15,-0.4847,-0.404866667
1989/10/15,-0.5704,-0.571533333
1989/11/15,-0.4072,-0.487433333
1989/12/15,0.0194,-0.3194
1990/1/15,0.392,0.0014
1990/2/15,-0.1002,0.103733333
1990/3/15,-0.0009,0.096966667
1990/4/15,-0.1667,-0.089266667
1990/5/15,-0.4054,-0.191
1990/6/15,-0.3267,-0.2996
1990/7/15,0.0666,-0.221833333
1990/8/15,-0.0727,-0.110933333
1990/9/15,-0.3715,-0.125866667
1990/10/15,-0.7875,-0.410566667
1990/11/15,0.0205,-0.3795
1990/12/15,-0.127,-0.298
1991/1/15,0.1135,0.002333333
1991/2/15,0.1507,0.045733333
1991/3/15,-0.2109,0.017766667
1991/4/15,0.8205,0.253433333
1991/5/15,0.7359,0.4485
1991/6/15,0.2876,0.614666667
1991/7/15,0.1568,0.393433333
1991/8/15,-0.1857,0.086233333
1991/9/15,0.3185,0.096533333
1991/10/15,0.1269,0.086566667
1991/11/15,0.228,0.224466667
1991/12/15,0.2892,0.2147
1992/1/15,-0.4012,0.038666667
1992/2/15,-0.3298,-0.147266667
1992/3/15,-0.6104,-0.447133333
1992/4/15,-0.5535,-0.4979
1992/5/15,-0.4231,-0.529
1992/6/15,-0.5123,-0.4963
1992/7/15,-0.3837,-0.4397
1992/8/15,-0.7312,-0.5424
1992/9/15,-0.7313,-0.6154
1992/10/15,-0.4292,-0.630566667
1992/11/15,-0.0034,-0.387966667
1992/12/15,-0.1436,-0.192066667
1993/1/15,-0.0748,-0.073933333
1993/2/15,-0.1004,-0.106266667
1993/3/15,-0.2386,-0.137933333
1993/4/15,-0.1938,-0.1776
1993/5/15,0.4385,0.002033333
1993/6/15,0.1008,0.115166667
1993/7/15,0.3091,0.2828
1993/8/15,-0.0519,0.119333333
1993/9/15,-0.4747,-0.0725
1993/10/15,-0.1525,-0.226366667
1993/11/15,-0.2341,-0.2871
1993/12/15,-0.3457,-0.2441
1994/1/15,0.2532,-0.108866667
1994/2/15,-0.1594,-0.083966667
1994/3/15,0.2774,0.123733333
1994/4/15,0.5175,0.211833333
1994/5/15,0.6281,0.474333333
1994/6/15,0.4067,0.517433333
1994/7/15,0.8639,0.6329
1994/8/15,1.1539,0.808166667
1994/9/15,0.8917,0.969833333
1994/10/15,1.6671,1.237566667
1994/11/15,0.2104,0.923066667
1994/12/15,-0.1672,0.5701
1995/1/15,-0.1499,-0.035566667
1995/2/15,0.5858,0.089566667
1995/3/15,0.2349,0.2236
1995/4/15,-0.0036,0.272366667
1995/5/15,0.1949,0.142066667
1995/6/15,0.0829,0.0914
1995/7/15,-0.4365,-0.0529
1995/8/15,-0.304,-0.2192
1995/9/15,-0.1306,-0.290366667
1995/10/15,-0.126,-0.186866667
1995/11/15,-0.5443,-0.266966667
1995/12/15,0.4329,-0.079133333
1996/1/15,0.3577,0.0821
1996/2/15,0.4363,0.408966667
1996/3/15,-0.1413,0.217566667
1996/4/15,-0.4128,-0.039266667
1996/5/15,-0.3443,-0.299466667
1996/6/15,-0.2851,-0.3474
1996/7/15,-0.5031,-0.3775
1996/8/15,-0.9397,-0.575966667
1996/9/15,-0.6018,-0.681533333
1996/10/15,-1.1919,-0.911133333
1996/11/15,-0.87,-0.8879
1996/12/15,-0.3002,-0.787366667
1997/1/15,-0.0288,-0.399666667
1997/2/15,0.2109,-0.039366667
1997/3/15,0.0201,0.0674
1997/4/15,-0.1175,0.037833333
1997/5/15,-0.1737,-0.090366667
